order,total,profit,last_closed_at
1,1,4.42,2025-04-25 01:17:00.000030
0,10,-6.329999999999999,2025-04-25 01:23:00.000239
0,10,-3.2799999999999994,2025-04-25 01:24:00.000940
0,10,4.88,2025-04-25 01:25:00.000137
0,10,-9.79,2025-04-25 01:26:00.003031
0,10,-4.530000000000001,2025-04-25 01:27:00.000040
0,10,4.44,2025-04-25 01:28:00.000092
0,10,7.4,2025-04-25 01:29:00.012866
0,10,-3.649999999999999,2025-04-25 01:30:00.009993
0,10,-1.4999999999999998,2025-04-25 01:31:00.000964
0,10,3.9300000000000006,2025-04-25 01:32:00.006086
